iter	Passed	Remaining
399	41817	10454
400	41921	10349
401	42013	10242
402	42136	10141
403	42247	10038
404	42346	9933
405	42459	9830
406	42571	9727
407	42680	9623
408	42781	9518
409	42885	9413
410	42969	9304
411	43056	9196
412	43162	9092
413	43292	8993
414	43400	8889
415	43503	8784
416	43607	8679
417	43691	8571
418	43798	8467
419	43919	8365
420	44023	8260
421	44139	8158
422	44229	8051
423	44360	7951
424	44467	7847
425	44557	7740
426	44656	7634
427	44758	7529
428	44856	7423
429	44957	7318
430	45058	7213
431	45156	7108
432	45259	7003
433	45379	6901
434	45491	6797
435	45588	6691
436	45692	6587
437	45791	6481
438	45902	6378
439	46011	6274
440	46113	6169
441	46236	6067
442	46329	5961
443	46428	5855
444	46521	5749
445	46619	5644
446	46719	5539
447	46821	5434
448	46929	5330
449	47027	5225
450	47125	5120
451	47222	5014
452	47329	4910
453	47428	4805
454	47528	4700
455	47633	4596
456	47746	4492
457	47849	4387
458	47955	4283
459	48060	4179
460	48151	4073
461	48262	3969
462	48368	3865
463	48476	3761
464	48588	3657
465	48680	3551
466	48769	3446
467	48877	3342
468	48976	3237
469	49095	3133
470	49203	3029
471	49303	2924
472	49425	2821
473	49545	2717
474	49646	2612
475	49750	2508
476	49867	2404
477	49963	2299
478	50064	2194
479	50192	2091
480	50314	1987
481	50412	1882
482	50512	1777
483	50619	1673
484	50730	1568
485	50842	1464
486	50937	1359
487	51051	1255
488	51187	1151
489	51291	1046
490	51400	942
491	51494	837
492	51607	732
493	51718	628
494	51824	523
495	51949	418
496	52056	314
497	52192	209
498	52301	104
499	52409	0
